season,feature_set,model_label,target_horizon_index,target_date,fold_id,importance_method,feature,input_week,base_feature,feature_group,weather_driver,normalized_importance
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w4_phenology_weighted_index,w4,phenology_weighted_index,Phenology counts,Other weather,0.005067265985967135
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w4_phenology_weighted_index_per_area,w4,phenology_weighted_index_per_area,Phenology counts,Other weather,0.0037689155423899887
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w4_total_unripe_visible_count_per_area,w4,total_unripe_visible_count_per_area,Phenology counts,Other weather,0.0017252393535811205
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w4_tmean_2m_c_7d_mean,w4,tmean_2m_c_7d_mean,Other,Other weather,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w4_soil_temp_mean_c_7d_mean,w4,soil_temp_mean_c_7d_mean,Weather / GDD,Temperature,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w4_rh_mean_pct_7d_mean,w4,rh_mean_pct_7d_mean,Weather / GDD,Humidity / dew point,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w4_rainfall_in_7d_sum,w4,rainfall_in_7d_sum,Weather / GDD,Rainfall,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w4_solar_radiation_mean_wm2_7d_mean,w4,solar_radiation_mean_wm2_7d_mean,Weather / GDD,Solar radiation,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w4_gdd_base_10_c_7d_sum,w4,gdd_base_10_c_7d_sum,Weather / GDD,Growing degree days,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w4_cumulative_gdd_base_10_c,w4,cumulative_gdd_base_10_c,Weather / GDD,Growing degree days,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w4_cumulative_rainfall_in,w4,cumulative_rainfall_in,Weather / GDD,Rainfall,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w4_cumulative_solar_radiation_sum_wm2_records,w4,cumulative_solar_radiation_sum_wm2_records,Weather / GDD,Solar radiation,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w5_flower_count,w5,flower_count,Phenology counts,Other weather,0.053916247819973076
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w5_green_fruit_count,w5,green_fruit_count,Phenology counts,Other weather,0.020601656588558524
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w5_white_fruit_count,w5,white_fruit_count,Phenology counts,Other weather,0.011383432579767488
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w5_pink_fruit_count,w5,pink_fruit_count,Phenology counts,Other weather,0.01995610241953166
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w5_canopy_area,w5,canopy_area,Canopy structure,Other weather,0.024576492229176065
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w5_canopy_volume,w5,canopy_volume,Canopy structure,Other weather,0.04548786782828276
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w5_total_unripe_visible_count,w5,total_unripe_visible_count,Phenology counts,Other weather,2.3474871104170485e-06
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w5_phenology_weighted_index,w5,phenology_weighted_index,Phenology counts,Other weather,0.005421587227324908
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w5_phenology_weighted_index_per_area,w5,phenology_weighted_index_per_area,Phenology counts,Other weather,0.0063545641689881065
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w5_total_unripe_visible_count_per_area,w5,total_unripe_visible_count_per_area,Phenology counts,Other weather,0.004498421597918721
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w5_tmean_2m_c_7d_mean,w5,tmean_2m_c_7d_mean,Other,Other weather,0.0
