task_id,task_label,model_id,model_label,forecast_origin_date,origin_sequence,season_phase,n_predictions_to_date,cumulative_mae_to_date,cumulative_bias_to_date_g
plot_next_current_state,Plot-level next yield · current-state upper bound,extra_trees,Extra Trees,2025-02-20,7,late season,278,67.52169167500168,62.752756597845135
plot_next_current_state,Plot-level next yield · current-state upper bound,extra_trees,Extra Trees,2025-02-26,8,late season,318,62.35882041221937,53.23542226108944
plot_next_current_state,Plot-level next yield · current-state upper bound,gradient_boosting,Gradient Boosting,2025-01-07,1,early season,40,184.22460408238675,184.22460408238675
plot_next_current_state,Plot-level next yield · current-state upper bound,gradient_boosting,Gradient Boosting,2025-01-15,2,early season,80,112.10901714571165,112.10901714571165
plot_next_current_state,Plot-level next yield · current-state upper bound,gradient_boosting,Gradient Boosting,2025-01-24,3,mid season,119,102.58499624921244,102.58499624921244
plot_next_current_state,Plot-level next yield · current-state upper bound,gradient_boosting,Gradient Boosting,2025-01-29,4,mid season,158,80.54766198600171,76.0423388557993
plot_next_current_state,Plot-level next yield · current-state upper bound,gradient_boosting,Gradient Boosting,2025-02-05,5,mid season,198,86.37402483560673,82.7788679943341
plot_next_current_state,Plot-level next yield · current-state upper bound,gradient_boosting,Gradient Boosting,2025-02-12,6,late season,238,77.14617664933377,67.69771186766246
plot_next_current_state,Plot-level next yield · current-state upper bound,gradient_boosting,Gradient Boosting,2025-02-20,7,late season,278,71.98077441624733,63.580533680358506
plot_next_current_state,Plot-level next yield · current-state upper bound,gradient_boosting,Gradient Boosting,2025-02-26,8,late season,318,66.60879139846148,52.94724911215177
plot_next_current_state,Plot-level next yield · current-state upper bound,hist_gradient_boosting,HistGradientBoosting,2025-01-07,1,early season,40,32.96601127016036,31.93316587573603
plot_next_current_state,Plot-level next yield · current-state upper bound,hist_gradient_boosting,HistGradientBoosting,2025-01-15,2,early season,80,27.420002675387128,26.534957842880413
plot_next_current_state,Plot-level next yield · current-state upper bound,hist_gradient_boosting,HistGradientBoosting,2025-01-24,3,mid season,119,54.35912541279735,53.764137290103754
plot_next_current_state,Plot-level next yield · current-state upper bound,hist_gradient_boosting,HistGradientBoosting,2025-01-29,4,mid season,158,44.02830585107023,39.09829830543351
plot_next_current_state,Plot-level next yield · current-state upper bound,hist_gradient_boosting,HistGradientBoosting,2025-02-05,5,mid season,198,54.46082953745479,50.52678311214873
plot_next_current_state,Plot-level next yield · current-state upper bound,hist_gradient_boosting,HistGradientBoosting,2025-02-12,6,late season,238,50.574249909928234,43.741315426336335
plot_next_current_state,Plot-level next yield · current-state upper bound,hist_gradient_boosting,HistGradientBoosting,2025-02-20,7,late season,278,49.58998197925159,43.69161869439161
plot_next_current_state,Plot-level next yield · current-state upper bound,hist_gradient_boosting,HistGradientBoosting,2025-02-26,8,late season,318,46.56349641369847,37.06039293904801
plot_next_current_state,Plot-level next yield · current-state upper bound,persistence,Persistence / no-change baseline,2025-01-07,1,early season,40,22.275,19.825
plot_next_current_state,Plot-level next yield · current-state upper bound,persistence,Persistence / no-change baseline,2025-01-15,2,early season,80,16.4625,13.8625
plot_next_current_state,Plot-level next yield · current-state upper bound,persistence,Persistence / no-change baseline,2025-01-24,3,mid season,119,12.067226890756302,9.546218487394958
plot_next_current_state,Plot-level next yield · current-state upper bound,persistence,Persistence / no-change baseline,2025-01-29,4,mid season,158,11.930379746835444,4.525316455696203
plot_next_current_state,Plot-level next yield · current-state upper bound,persistence,Persistence / no-change baseline,2025-02-05,5,mid season,198,13.393939393939394,1.3232323232323233
plot_next_current_state,Plot-level next yield · current-state upper bound,persistence,Persistence / no-change baseline,2025-02-12,6,late season,238,17.596638655462186,-4.428571428571429
plot_next_current_state,Plot-level next yield · current-state upper bound,persistence,Persistence / no-change baseline,2025-02-20,7,late season,278,20.5,0.37050359712230213
plot_next_current_state,Plot-level next yield · current-state upper bound,persistence,Persistence / no-change baseline,2025-02-26,8,late season,318,22.10691823899371,-2.9056603773584904
plot_next_current_state,Plot-level next yield · current-state upper bound,random_forest,Random Forest,2025-01-07,1,early season,40,129.3962823864953,129.3962823864953
plot_next_current_state,Plot-level next yield · current-state upper bound,random_forest,Random Forest,2025-01-15,2,early season,80,82.66051143862754,82.66051143862754
plot_next_current_state,Plot-level next yield · current-state upper bound,random_forest,Random Forest,2025-01-24,3,mid season,119,90.77479651293274,90.77479651293274
plot_next_current_state,Plot-level next yield · current-state upper bound,random_forest,Random Forest,2025-01-29,4,mid season,158,71.43350684255446,66.4257414419459
plot_next_current_state,Plot-level next yield · current-state upper bound,random_forest,Random Forest,2025-02-05,5,mid season,198,79.51146746584018,75.51537184313234
plot_next_current_state,Plot-level next yield · current-state upper bound,random_forest,Random Forest,2025-02-12,6,late season,238,70.88983794990271,60.62880706256931
plot_next_current_state,Plot-level next yield · current-state upper bound,random_forest,Random Forest,2025-02-20,7,late season,278,65.95387090462027,56.892928619556656
plot_next_current_state,Plot-level next yield · current-state upper bound,random_forest,Random Forest,2025-02-26,8,late season,318,60.850007050887484,48.57704370098424
plot_next_current_state,Plot-level next yield · current-state upper bound,ridge,Ridge regression,2025-01-07,1,early season,40,304.4346140748436,304.4346140748436
plot_next_current_state,Plot-level next yield · current-state upper bound,ridge,Ridge regression,2025-01-15,2,early season,80,205.51450904236407,99.51992748797552
plot_next_current_state,Plot-level next yield · current-state upper bound,ridge,Ridge regression,2025-01-24,3,mid season,119,153.44157864959718,53.667577269652746
plot_next_current_state,Plot-level next yield · current-state upper bound,ridge,Ridge regression,2025-01-29,4,mid season,158,132.06895684789382,56.6418820540598
plot_next_current_state,Plot-level next yield · current-state upper bound,ridge,Ridge regression,2025-02-05,5,mid season,198,111.28246867467371,44.576665380373036
plot_next_current_state,Plot-level next yield · current-state upper bound,ridge,Ridge regression,2025-02-12,6,late season,238,98.58097184655992,34.21134717213198
plot_next_current_state,Plot-level next yield · current-state upper bound,ridge,Ridge regression,2025-02-20,7,late season,278,90.16006710881925,33.99360345588294
plot_next_current_state,Plot-level next yield · current-state upper bound,ridge,Ridge regression,2025-02-26,8,late season,318,91.17017318004415,42.068673508609244
plot_next_current_state,Plot-level next yield · current-state upper bound,rolling_mean,Rolling mean baseline,2025-01-07,1,early season,40,293.625,293.625
plot_next_current_state,Plot-level next yield · current-state upper bound,rolling_mean,Rolling mean baseline,2025-01-15,2,early season,80,278.88125,278.88125
plot_next_current_state,Plot-level next yield · current-state upper bound,rolling_mean,Rolling mean baseline,2025-01-24,3,mid season,119,263.1302521008403,263.1302521008403
plot_next_current_state,Plot-level next yield · current-state upper bound,rolling_mean,Rolling mean baseline,2025-01-29,4,mid season,158,237.66455696202533,237.66455696202533
plot_next_current_state,Plot-level next yield · current-state upper bound,rolling_mean,Rolling mean baseline,2025-02-05,5,mid season,198,207.8989898989899,207.77777777777777
