season,feature_set,model_label,fold_id,input_start_date,input_end_date,target_horizon_index,target_date,n_heldout_plots,observed_total_yield_g,predicted_total_yield_g,last_observed_total_yield_baseline_g,mean_observed_history_total_yield_baseline_g,aggregate_error_g,aggregate_abs_error_g,validation_scope
2324,paper_informed_nonreactive,Gradient Boosting,1,2024-01-08,2024-02-06,2,2024-02-20,8,2468.0,2415.8319047581044,2747.0,1405.6,-52.16809524189557,52.16809524189557,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Gradient Boosting,1,2024-01-08,2024-02-06,3,2024-02-27,8,2367.0,3442.333141056202,2747.0,1405.6,1075.3331410562018,1075.3331410562018,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Gradient Boosting,2,2024-01-08,2024-02-06,1,2024-02-13,8,3284.0,3848.772694547144,3248.0,1770.8,564.772694547144,564.772694547144,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Gradient Boosting,2,2024-01-08,2024-02-06,2,2024-02-20,8,2683.0,2367.7326194472007,3248.0,1770.8,-315.2673805527993,315.2673805527993,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Gradient Boosting,2,2024-01-08,2024-02-06,3,2024-02-27,8,3913.0,2713.8369780898256,3248.0,1770.8,-1199.1630219101744,1199.1630219101744,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Gradient Boosting,3,2024-01-08,2024-02-06,1,2024-02-13,8,3088.0,3490.514121664426,3173.0,1639.0,402.51412166442606,402.51412166442606,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Gradient Boosting,3,2024-01-08,2024-02-06,2,2024-02-20,8,1914.0,2249.7896151490713,3173.0,1639.0,335.7896151490713,335.7896151490713,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Gradient Boosting,3,2024-01-08,2024-02-06,3,2024-02-27,8,2452.0,3101.289032235921,3173.0,1639.0,649.2890322359208,649.2890322359208,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Gradient Boosting,4,2024-01-08,2024-02-06,1,2024-02-13,8,4173.0,3509.666020704314,3554.0,1863.2,-663.3339792956858,663.3339792956858,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Gradient Boosting,4,2024-01-08,2024-02-06,2,2024-02-20,8,2408.0,2356.2633637094805,3554.0,1863.2,-51.73663629051953,51.73663629051953,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Gradient Boosting,4,2024-01-08,2024-02-06,3,2024-02-27,8,3510.0,2999.0306677504545,3554.0,1863.2,-510.96933224954546,510.96933224954546,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Gradient Boosting,5,2024-01-08,2024-02-06,1,2024-02-13,8,2909.0,2962.742809053511,3069.0,1540.6,53.74280905351088,53.74280905351088,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Gradient Boosting,5,2024-01-08,2024-02-06,2,2024-02-20,8,2039.0,2121.8339170066997,3069.0,1540.6,82.83391700669972,82.83391700669972,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Gradient Boosting,5,2024-01-08,2024-02-06,3,2024-02-27,8,2843.0,3036.023267588574,3069.0,1540.6,193.02326758857407,193.02326758857407,held_out_cv_fold_aggregate_primary
