season,plot_id,target_horizon_index,target_date,target_yield_g
2425,B54,2,2025-02-20,45.0
2425,B54,3,2025-02-26,9.0
2425,B54,4,2025-03-05,98.0
2425,B55,1,2025-02-12,0.0
2425,B55,2,2025-02-20,40.0
2425,B55,3,2025-02-26,0.0
2425,B55,4,2025-03-05,7.0
2425,M11,1,2025-02-12,0.0
2425,M11,2,2025-02-20,26.0
2425,M11,3,2025-02-26,13.0
2425,M11,4,2025-03-05,5.0
2425,M12,1,2025-02-12,19.0
2425,M12,2,2025-02-20,66.0
2425,M12,3,2025-02-26,83.0
2425,M12,4,2025-03-05,71.0
2425,M13,1,2025-02-12,89.0
2425,M13,2,2025-02-20,111.0
2425,M13,3,2025-02-26,31.0
2425,M13,4,2025-03-05,107.0
2425,M14,1,2025-02-12,34.0
2425,M14,2,2025-02-20,47.0
2425,M14,3,2025-02-26,19.0
2425,M14,4,2025-03-05,32.0
2425,M15,1,2025-02-12,10.0
2425,M15,2,2025-02-20,33.0
2425,M15,3,2025-02-26,45.0
2425,M15,4,2025-03-05,34.0
2425,M21,1,2025-02-12,7.0
2425,M21,2,2025-02-20,78.0
2425,M21,3,2025-02-26,43.0
2425,M21,4,2025-03-05,38.0
2425,M22,1,2025-02-12,83.0
2425,M22,2,2025-02-20,135.0
2425,M22,3,2025-02-26,55.0
2425,M22,4,2025-03-05,102.0
2425,M23,1,2025-02-12,0.0
2425,M23,2,2025-02-20,73.0
2425,M23,3,2025-02-26,48.0
2425,M23,4,2025-03-05,26.0
2425,M24,1,2025-02-12,9.0
2425,M24,2,2025-02-20,6.0
2425,M24,3,2025-02-26,0.0
2425,M24,4,2025-03-05,18.0
2425,M25,1,2025-02-12,0.0
2425,M25,2,2025-02-20,0.0
2425,M25,3,2025-02-26,15.0
2425,M25,4,2025-03-05,9.0
2425,M41,1,2025-02-12,57.0
2425,M41,2,2025-02-20,145.0
2425,M41,3,2025-02-26,24.0
2425,M41,4,2025-03-05,28.0
2425,M42,1,2025-02-12,41.0
2425,M42,2,2025-02-20,45.0
2425,M42,3,2025-02-26,0.0
2425,M42,4,2025-03-05,5.0
2425,M43,1,2025-02-12,0.0
2425,M43,2,2025-02-20,46.0
2425,M43,3,2025-02-26,29.0
2425,M43,4,2025-03-05,24.0
2425,M44,1,2025-02-12,0.0
2425,M44,2,2025-02-20,98.0
2425,M44,3,2025-02-26,40.0
2425,M44,4,2025-03-05,48.0
2425,M45,1,2025-02-12,5.0
2425,M45,2,2025-02-20,32.0
2425,M45,3,2025-02-26,24.0
2425,M45,4,2025-03-05,2.0
2425,M51,1,2025-02-12,53.0
2425,M51,2,2025-02-20,101.0
2425,M51,3,2025-02-26,35.0
2425,M51,4,2025-03-05,17.0
2425,M52,1,2025-02-12,53.0
2425,M52,2,2025-02-20,83.0
2425,M52,3,2025-02-26,19.0
2425,M52,4,2025-03-05,26.0
2425,M53,1,2025-02-12,22.0
2425,M53,2,2025-02-20,53.0
2425,M53,3,2025-02-26,27.0
2425,M53,4,2025-03-05,7.0
2425,M54,1,2025-02-12,3.0
2425,M54,2,2025-02-20,21.0
2425,M54,3,2025-02-26,40.0
2425,M54,4,2025-03-05,47.0
2425,M55,1,2025-02-12,24.0
2425,M55,2,2025-02-20,76.0
2425,M55,3,2025-02-26,26.0
2425,M55,4,2025-03-05,29.0
