n_predictions,mae,rmse,r2,bias,mean_observed,mae_pct_of_mean_observed,model,model_label,current_observation_date,n_current_year_training_rows
4,28.44722855062724,32.97718183864548,-6.757969549149761,28.44722855062724,16.235,175.22161102942556,rolling_treatment_mean,Rolling treatment mean baseline,2023-09-21,56
4,13.340229563370189,16.779248529975405,0.5704569542931779,10.07187821201884,33.8075,39.45937902350126,rolling_treatment_mean,Rolling treatment mean baseline,2023-09-24,60
2,11.508633023971397,15.349420074791993,-13.72529353952672,11.508633023971397,14.559999999999999,79.04280923057279,rolling_weather_gdd_ridge,Rolling weather + GDD linear model,2023-07-29,0
3,12.055210520160857,13.462711429980931,-39.03459070660432,5.766768034515972,14.4,83.71673972333929,rolling_weather_gdd_ridge,Rolling weather + GDD linear model,2023-08-01,2
3,10.8578484981332,11.237125174405511,-1.825796610674042,-1.1555608282702348,28.27,38.407670669024405,rolling_weather_gdd_ridge,Rolling weather + GDD linear model,2023-08-04,5
4,27.134512502833644,28.413891120943212,-4.126361969276822,-15.323704214490705,55.25,49.11223982413329,rolling_weather_gdd_ridge,Rolling weather + GDD linear model,2023-08-07,8
4,12.562646900843367,15.274764911936366,0.6764491553935723,-4.555077620465178,59.975,20.946472531627123,rolling_weather_gdd_ridge,Rolling weather + GDD linear model,2023-08-11,12
4,12.99210488969352,16.05812191427469,0.5165706320980588,2.3100547127365427,70.64,18.39199446445855,rolling_weather_gdd_ridge,Rolling weather + GDD linear model,2023-08-13,16
4,19.925880458917646,23.241602313247718,0.06860631309028431,-17.406207857969825,70.6675,28.196668141532733,rolling_weather_gdd_ridge,Rolling weather + GDD linear model,2023-08-17,20
4,35.2014810550309,35.63759901261947,-2.898072447002082,35.2014810550309,29.6775,118.61336384476758,rolling_weather_gdd_ridge,Rolling weather + GDD linear model,2023-08-21,24
4,12.586097465564242,14.00442849220751,0.17590873500840865,12.586097465564242,42.205,29.821342176434644,rolling_weather_gdd_ridge,Rolling weather + GDD linear model,2023-08-24,28
4,8.782937555637814,13.549300363533073,-1.2734291707979324,4.635751049135573,46.2625,18.98500417322413,rolling_weather_gdd_ridge,Rolling weather + GDD linear model,2023-08-27,32
4,29.825000000000003,35.303903063217305,-0.16494475741058157,0.21071404760749068,43.215,69.01538817540207,rolling_weather_gdd_ridge,Rolling weather + GDD linear model,2023-08-31,36
4,13.083835097047364,15.214123027491635,-0.12325126492504834,13.083835097047364,16.925,77.30478639318974,rolling_weather_gdd_ridge,Rolling weather + GDD linear model,2023-09-05,40
4,38.95423015270962,41.45919748515093,-11.265738251593644,38.95423015270962,23.705,164.3291717051661,rolling_weather_gdd_ridge,Rolling weather + GDD linear model,2023-09-09,44
4,57.93515584941352,58.16066839252909,-33.25600900047204,57.93515584941352,15.5175,373.3536706905978,rolling_weather_gdd_ridge,Rolling weather + GDD linear model,2023-09-13,48
4,30.14760335951179,31.0625300063673,-4.096231084784795,30.14760335951179,22.775,132.37147468501337,rolling_weather_gdd_ridge,Rolling weather + GDD linear model,2023-09-17,52
4,23.891081824686072,25.688481865896073,-3.7075817543370126,23.891081824686072,16.235,147.1578800411831,rolling_weather_gdd_ridge,Rolling weather + GDD linear model,2023-09-21,56
4,26.869519679640142,28.23728130524706,-0.2164869082731733,20.698134328846493,33.8075,79.47798470647088,rolling_weather_gdd_ridge,Rolling weather + GDD linear model,2023-09-24,60
