forecast_task,year,nitrogen_treatment,treatment_n_level,current_observation_date,target_date,forecast_horizon_days,next_fresh_matter_g,next_fruit_number,next_dry_matter_g,current_fruit_number,current_fresh_matter_g,current_dry_matter_g,previous_fruit_number,previous_fresh_matter_g,previous_dry_matter_g,change_fruit_number,change_fresh_matter_g,change_dry_matter_g,rolling_mean_2_fruit_number,rolling_mean_3_fruit_number,rolling_mean_2_fresh_matter_g,rolling_mean_3_fresh_matter_g,rolling_mean_2_dry_matter_g,rolling_mean_3_dry_matter_g,days_since_previous_observation,day_of_year,days_since_weather_start,tmax_c,tmin_c,tmean_c,rhmean_pct,solar_radiation,gdd_base_10,cumulative_gdd_base_10,cumulative_solar_radiation,tmean_7d,solar_radiation_7d,rhmean_7d,n_fruit_size_samples,mean_fruit_diameter_mm,mean_fruit_length_mm,mean_individual_fruit_fresh_weight_g,mean_tagged_fruit_diameter_mm,n_tagged_fruit_diameter_mm_observations,mean_tagged_fruit_length_mm,n_tagged_fruit_length_mm_observations,mean_tagged_fruit_fresh_matter_g,n_tagged_fruit_fresh_matter_g_observations,mean_tagged_fruit_lifespan,n_tagged_fruit_lifespan_observations
next_observation_fresh_matter,2022,50N,50.0,2022-07-29,2022-08-02,4.0,39.46,5.0,5.8,5,47.68,5.48,,,,,,,,,,,,,,210,66,27.88,18.7,22.81434782608696,53.41304347826087,5.395860230630623,12.814347826086959,981.2273913043476,378.16374223058756,23.117763975155277,4.974990816564348,58.00248447204969,5.0,25.832,,9.536,16.3485,20.0,,,,,,
next_observation_fresh_matter,2022,50N,50.0,2022-08-02,2022-08-05,3.0,4.55,1.0,0.54,5,39.46,5.8,5.0,47.68,5.48,0.0,-8.219999999999999,0.3199999999999994,5.0,5.0,47.68,47.68,5.48,5.48,4.0,214,70,36.68,19.83,27.59608695652174,58.36521739130435,6.053534178088547,17.59608695652174,1045.349565217391,402.54779842007315,24.795279503105593,6.0077799098373585,54.911180124223606,5.0,24.954,,7.892,20.262,20.0,,,,,,
next_observation_fresh_matter,2022,50N,50.0,2022-08-09,2022-08-12,3.0,40.79,4.0,4.98,0,,,1.0,4.55,0.54,-1.0,,,3.0,3.6666666666666665,22.005,30.563333333333333,3.17,3.94,4.0,221,77,31.459259259259262,19.3,24.82053615178308,56.34241957447045,4.582218052902368,14.820536151783081,1147.75409572896,437.55397639918965,24.62921864450987,5.000882568445202,61.49864145182439,,,,,14.334,20.0,,,,,,
next_observation_fresh_matter,2022,50N,50.0,2022-08-12,2022-08-16,4.0,46.28,7.0,6.52,4,40.79,4.98,0.0,,,4.0,,,0.5,2.0,4.55,22.005,0.54,3.17,3.0,224,80,24.045283018867924,19.31111111111111,21.371025020036026,65.67866296777969,2.7323161799344318,11.371025020036026,1189.502879481137,449.24724225836576,23.4848834041376,3.761063316679518,63.6503189930658,4.0,28.33,,10.1975,17.138125,16.0,,,,,,
next_observation_fresh_matter,2022,50N,50.0,2022-08-16,2022-08-22,6.0,18.02,2.0,2.33,7,46.28,6.52,4.0,40.79,4.98,3.0,5.490000000000002,1.5399999999999991,2.0,1.6666666666666667,40.79,22.669999999999998,4.98,2.7600000000000002,4.0,228,84,29.721818181818183,20.08333333333333,23.65550788166046,64.77202451090065,4.700710084021808,13.655507881660458,1237.5989139300834,465.6955745100937,22.834974028731917,4.02022830155772,63.58295452452003,7.0,23.704285714285714,25.389999999999997,6.611428571428571,16.843,20.0,19.6275,20.0,,,,
next_observation_fresh_matter,2022,50N,50.0,2022-08-22,2022-08-30,8.0,93.59,14.0,12.31,2,18.02,2.33,7.0,46.28,6.52,-5.0,-28.26,-4.1899999999999995,5.5,3.6666666666666665,43.535,43.535,5.75,5.75,6.0,234,90,29.92962962962964,18.8,23.96182260118273,56.922250450913296,4.218211517964024,13.961822601182732,1314.7430536370327,486.23792972160925,22.971378226944264,3.6061521850767604,67.50592878849646,2.0,28.32,28.745,9.01,,,,,,,,
next_observation_fresh_matter,2022,50N,50.0,2022-08-30,2022-09-06,7.0,52.74,9.0,5.67,14,93.59,12.31,2.0,18.02,2.33,12.0,75.57000000000001,9.98,4.5,4.333333333333333,32.15,35.03,4.425,4.61,8.0,242,98,29.07818181818181,18.98703703703704,23.48486997400861,51.38737528415133,4.527398603451437,13.48486997400861,1423.648834328516,515.8829741558179,23.438053675899805,3.6609194502946707,67.009606195906,14.0,23.065714285714286,28.278571428571432,6.6850000000000005,19.311875,16.0,22.43375,16.0,,,,
next_observation_fresh_matter,2022,50N,50.0,2022-09-06,2022-09-09,3.0,37.17,4.0,3.94,9,52.74,5.67,14.0,93.59,12.31,-5.0,-40.85,-6.640000000000001,8.0,7.666666666666667,55.805,52.63,7.32,7.053333333333334,7.0,249,105,29.892592592592592,19.401818181818182,24.11200887739854,63.22805511657851,5.693127228337097,14.11200887739854,1523.7797840537073,549.5631289427068,24.304421389313056,4.811450683841289,56.92362014487786,9.0,21.941111111111113,23.36333333333333,5.86,14.6675,20.0,17.674500000000002,20.0,,,,
next_observation_fresh_matter,2022,50N,50.0,2022-09-09,2022-09-13,4.0,94.22,9.0,6.95,4,37.17,3.94,9.0,52.74,5.67,-5.0,-15.57,-1.73,11.5,8.333333333333334,73.165,54.78333333333334,8.99,6.7700000000000005,3.0,252,108,24.48518518518518,18.74150943396226,20.975001659386404,73.3875283003995,1.3013056358307786,10.975001659386404,1567.1690471512272,557.63561434552,23.289204577362902,4.133109919995365,61.2526489885537,4.0,25.259999999999998,32.0025,9.2925,16.901875,16.0,19.264666666666667,15.0,,,,
next_observation_fresh_matter,2022,50N,50.0,2022-09-13,2022-09-16,3.0,41.69,4.0,3.67,9,94.22,6.95,4.0,37.17,3.94,5.0,57.05,3.0100000000000002,6.5,9.0,44.955,61.166666666666664,4.805,7.3066666666666675,4.0,256,112,36.96909090909091,18.3188679245283,24.96908806412498,55.8540571976257,6.642826961728851,14.969088064124978,1619.6950522390207,579.7682846396945,23.702181169330476,4.31502224242681,59.967015388373056,9.0,25.40777777777778,29.887777777777778,10.46888888888889,16.41842105263158,19.0,19.102105263157895,19.0,,,,
next_observation_fresh_matter,2022,50N,50.0,2022-09-16,2022-09-20,4.0,38.75,4.0,3.49,4,41.69,3.67,9.0,94.22,6.95,-5.0,-52.53,-3.2800000000000002,6.5,7.333333333333333,65.695,61.376666666666665,5.445,5.5200000000000005,3.0,259,115,31.369090909090904,20.46481481481481,23.35769538424994,69.9474714881934,3.66111418200453,13.35769538424994,1662.9797942975424,594.3343823039152,23.687249592330748,5.242681136913604,56.95014218547707,4.0,26.72,29.3475,10.4225,12.727500000000001,20.0,14.857,20.0,,,,
next_observation_fresh_matter,2022,50N,50.0,2022-09-20,2022-09-23,3.0,16.7,2.0,2.03,4,38.75,3.49,4.0,41.69,3.67,0.0,-2.9399999999999977,-0.17999999999999972,6.5,5.666666666666667,67.95499999999998,57.69333333333333,5.3100000000000005,4.8533333333333335,4.0,263,119,38.98518518518518,20.53018867924528,27.27724438809755,65.08779517902568,6.4852667201201175,17.27724438809755,1722.5911456669826,614.1352760996347,24.699441918280257,4.909570208562888,62.67229267437079,4.0,23.87,32.43,9.6875,16.907647058823528,17.0,19.748823529411766,17.0,,,,
next_observation_fresh_matter,2022,50N,50.0,2022-09-23,2022-09-27,4.0,105.07,14.0,13.04,2,16.7,2.03,4.0,38.75,3.49,-2.0,-22.05,-1.4600000000000004,4.0,5.666666666666667,40.21999999999999,58.22,3.58,4.703333333333334,3.0,266,122,20.32962962962964,18.3090909090909,19.012343589021192,58.966593664288496,1.1468640174871636,9.012343589021192,1754.1358528978917,627.5222743667301,23.022294085764145,4.7411274375449945,58.96803935134534,2.0,25.685000000000002,27.4,8.35,13.993157894736843,19.0,17.335263157894737,19.0,,,,
next_observation_fresh_matter,2022,50N,50.0,2022-09-27,2022-09-30,3.0,51.4,7.0,6.64,14,105.07,13.04,2.0,16.7,2.03,12.0,88.36999999999999,11.01,3.0,3.3333333333333335,27.724999999999994,32.38,2.76,3.063333333333333,4.0,270,126,24.381481481481472,17.9037037037037,19.608652356211824,45.72300055320974,2.855389745144804,9.608652356211824,1794.7663647293593,644.1395284446792,20.310745580339507,4.286321763577797,51.11870385928338,14.0,23.33142857142857,25.93357142857143,7.505,15.468333333333334,18.0,18.620555555555555,18.0,,,,
next_observation_fresh_matter,2022,50N,50.0,2022-09-30,2022-10-04,4.0,36.48,5.0,4.68,7,51.4,6.64,14.0,105.07,13.04,-7.0,-53.669999999999995,-6.3999999999999995,8.0,6.666666666666667,60.88499999999999,53.50666666666666,7.534999999999999,6.1866666666666665,3.0,273,129,28.661818181818187,18.37090909090909,22.750923785296223,39.9262858003055,4.582923341976224,12.750923785296223,1829.3168320219183,652.9937041915183,20.740139874860954,3.63877568925546,45.754171895637384,7.0,23.125714285714285,26.359999999999996,7.3428571428571425,12.998947368421051,19.0,16.718947368421052,19.0,,,,
next_observation_fresh_matter,2022,50N,50.0,2022-10-04,2022-10-07,3.0,29.44,5.0,3.66,5,36.48,4.68,7.0,51.4,6.64,-2.0,-14.920000000000002,-1.96,10.5,7.666666666666667,78.23499999999999,57.72333333333333,9.84,7.2366666666666655,4.0,277,133,30.505454545454544,18.63703703703704,24.693047897625423,42.39131821358237,6.618382106377156,14.693047897625423,1886.0634430237137,679.7604879844968,23.042439756336393,5.088708505688231,42.946363850806016,5.0,23.278,26.526,7.295999999999999,15.046315789473685,19.0,19.907894736842106,19.0,,,,
