year,date,nitrogen_treatment,sample_diameter_mm_n_records,sample_diameter_mm_n_non_missing,sample_diameter_mm_mean,sample_diameter_mm_median,sample_diameter_mm_std,sample_diameter_mm_min,sample_diameter_mm_max,sample_diameter_mm_p10,sample_diameter_mm_p90,sample_length_mm_n_records,sample_length_mm_n_non_missing,sample_length_mm_mean,sample_length_mm_median,sample_length_mm_std,sample_length_mm_min,sample_length_mm_max,sample_length_mm_p10,sample_length_mm_p90,sample_individual_fruit_fresh_weight_g_n_records,sample_individual_fruit_fresh_weight_g_n_non_missing,sample_individual_fruit_fresh_weight_g_mean,sample_individual_fruit_fresh_weight_g_median,sample_individual_fruit_fresh_weight_g_std,sample_individual_fruit_fresh_weight_g_min,sample_individual_fruit_fresh_weight_g_max,sample_individual_fruit_fresh_weight_g_p10,sample_individual_fruit_fresh_weight_g_p90,sample_condition_code_n_records,sample_condition_code_n_non_missing,sample_condition_code_mean,sample_condition_code_median,sample_condition_code_std,sample_condition_code_min,sample_condition_code_max,sample_condition_code_p10,sample_condition_code_p90,n_fruit_size_samples
2022,2022-10-04,150N,9,9,21.01,19.89,5.048390832730763,13.95,29.68,16.918,28.616,9,9,28.892222222222227,25.64,5.703629935790402,22.91,37.85,24.541999999999998,37.594,9,9,6.535555555555556,4.64,3.917052817843765,2.59,13.15,3.694,13.134,9,9,2.5555555555555554,2.0,1.740051084818425,1.0,5.0,1.0,5.0,9
2022,2022-10-04,50N,5,5,23.278,22.7,1.9383033818264883,21.59,26.44,21.746,25.336000000000002,5,5,26.526,26.06,4.181779525513032,21.7,33.16,23.012,30.587999999999997,5,5,7.295999999999999,6.36,2.284443039342413,5.26,11.1,5.62,9.7,5,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
2022,2022-10-07,100N,5,5,21.631999999999998,20.68,3.944555741778788,17.46,27.98,18.404,25.676000000000002,5,5,23.830000000000002,25.19,5.692903477137129,16.0,29.59,17.648,29.054,5,5,5.668,4.09,3.1905830188227355,2.97,10.35,3.1220000000000003,9.242,5,5,2.2,2.0,0.8366600265340756,1.0,3.0,1.4,3.0,5
2022,2022-10-07,150N,3,3,25.149999999999995,25.13,2.8300530030372224,22.33,27.99,22.889999999999997,27.418,3,3,30.583333333333332,30.37,3.804488577106432,26.89,34.49,27.586000000000002,33.666000000000004,3,3,9.860000000000001,10.65,2.052388852045343,7.53,11.4,8.154,11.25,3,3,1.6666666666666667,1.0,1.1547005383792517,1.0,3.0,1.0,2.6,3
2022,2022-10-07,50N,5,5,21.002000000000002,19.88,4.50361743490719,16.7,26.55,16.832,25.87,5,5,24.796,26.58,6.548421947309137,15.22,30.96,17.648,30.548000000000002,5,5,5.888,4.85,3.0809933463089467,2.41,10.05,3.102,9.226,5,5,1.4,1.0,0.8944271909999159,1.0,3.0,1.0,2.2,5
2022,2022-10-11,0N,3,3,16.386666666666667,15.75,1.270839617470802,15.56,17.85,15.598,17.43,3,3,20.849999999999998,21.84,1.9173679876330467,18.64,22.07,19.28,22.024,3,3,3.3266666666666667,2.79,0.9382075108062893,2.78,4.41,2.782,4.086,3,3,1.6666666666666667,1.0,1.1547005383792517,1.0,3.0,1.0,2.6,3
2022,2022-10-11,100N,5,5,18.936,19.17,2.1964357491171924,16.43,22.1,16.802,21.108,5,5,20.028,20.87,2.1139583723432205,17.18,21.89,17.68,21.842,5,5,4.136,4.29,0.7585380676010928,3.25,5.13,3.358,4.874,5,5,2.6,3.0,1.140175425099138,1.0,4.0,1.4,3.6,5
2022,2022-10-11,150N,8,8,21.8625,22.7,4.67332475714178,15.52,28.79,15.737,26.529,8,8,26.09625,27.415,6.122634674479841,13.5,32.25,18.764,31.473,8,8,6.7375,6.890000000000001,3.349041440685464,2.71,10.94,3.06,10.415,8,8,2.5,2.0,1.6903085094570331,1.0,5.0,1.0,5.0,8
2022,2022-10-11,50N,10,10,23.699,23.130000000000003,2.9498378486508927,18.77,28.28,20.57,27.820999999999998,10,10,28.383999999999997,29.5,4.580032023177712,19.22,33.96,23.162000000000003,32.646,10,10,7.8870000000000005,7.745,1.9433136076757596,5.25,11.76,5.277,9.915,10,10,1.9,1.0,1.3703203194062976,1.0,5.0,1.0,3.1999999999999993,10
2022,2022-10-14,0N,1,1,17.26,17.26,,17.26,17.26,17.26,17.26,1,1,17.63,17.63,,17.63,17.63,17.63,17.63,1,1,2.65,2.65,,2.65,2.65,2.65,2.65,1,1,3.0,3.0,,3.0,3.0,3.0,3.0,1
2022,2022-10-14,100N,6,6,22.94333333333333,23.12,2.368194811806383,19.6,25.72,20.265,25.445,6,6,25.57166666666667,24.36,4.207747219910752,21.83,32.66,21.985,30.369999999999997,6,6,6.995,6.970000000000001,2.1140648050615662,4.46,10.29,4.835,9.18,6,6,2.0,1.5,1.2649110640673518,1.0,4.0,1.0,3.5,6
2022,2022-10-14,150N,3,3,19.393333333333334,17.67,3.1069331073155304,17.53,22.98,17.558,21.918,3,3,26.713333333333335,27.26,3.33378663584419,23.14,29.74,23.964000000000002,29.244,3,3,5.083333333333333,5.13,1.6704889503775038,3.39,6.73,3.738,6.41,3,3,1.6666666666666667,1.0,1.1547005383792517,1.0,3.0,1.0,2.6,3
2022,2022-10-14,50N,5,5,25.726,24.8,1.9543617884107356,23.49,27.99,24.006,27.822,5,5,30.3,28.67,4.775882117473169,25.56,38.2,26.7,35.184000000000005,5,5,9.476,8.86,1.9138782615412095,7.75,12.73,8.106,11.398000000000001,5,5,1.4,1.0,0.8944271909999159,1.0,3.0,1.0,2.2,5
2022,2022-10-18,0N,1,1,17.97,17.97,,17.97,17.97,17.97,17.97,1,1,24.3,24.3,,24.3,24.3,24.3,24.3,1,1,4.14,4.14,,4.14,4.14,4.14,4.14,1,1,1.0,1.0,,1.0,1.0,1.0,1.0,1
